roll_number,full_name,dob,parent_mobile,parent_email,standard,year_joined
20250001,Adithya Nusum,1111-11-11,0800819731,nusumadithya83@gmail.com,1,2025
20250002,mariam,2222-02-22,0852020852,shaikmariam2005@gmail.com,1,2025
20250003,keerthana,2222-02-22,0123456123,keerthanaseethi@gmail.com,2,2025
20250004,samantha,2135-02-12,0123456789,shaikmariam2005@gmail.com,1,2025
20250005,tamanna,1111-11-11,1000000000,keerthanaseethi@gmail.com,1,2025
20250006,ntr,2005-10-10,1000000000,nusumadhi@gmail.com,2,2025
20250007,prabhas,2000-12-12,1000000000,nusumadhi@gmail.com,3,2025
20250008,rajj,7410-12-11,0800819731,nusumadithya83@gmail.com,4,2025
20250009,pal,2005-02-11,7894561237,nusumadhi@gmail.com,1,2025
20250010,rohit,2005-05-14,7894562147,anusum2@gitam.in,6,2025
